Germany,English
braucht,needs
idee,idea
schwester,sister
drin,in it
ruhig,quiet
sah,saw
ganzen,entire
spät,late
ziemlich,quite
solltest,should
name,Surname
sogar,even
kurz,short
kerl,Guy
frauen,women
liegt,lies
suchen,seek
finde,find
je,ever
woher,from where
lang,long
job,job
keiner,none
seinem,his
hört,hear
verstehen,understand
spielen,play
s.,s.
überhaupt,at all
teufel,devil
verstanden,understood
verloren,lost
große,size
hand,hand
jahr,year
kommst,come
mama,mummy
ruhe,quiet
gewesen,been
tod,death
stunden,hours
hoffe,hope
denkst,thinking
oben,above
gestern,yesterday
versuchen,attempt
art,kind
letzten,last
schatz,treasure
endlich,finally
he,hey
nimm,take
etwa,approximately
erzählt,told
läuft,running
schwer,difficult
anders,different
miss,miss
musste,had to
fünf,five
wasser,water
lässt,leaves
erste,first
versucht,tried
gekommen,came
wenig,few
holen,fetch
bedeutet,means
nett,kind
wahrheit,truth
woche,week
bringt,brings
deshalb,for this reason
welche,which
bestimmt,certainly
hoch,high
alter,age
sagst,say
schau,look
ah,uh
land,country
zimmer,room
wagen,dare
vier,four
gefallen,fallen
spaß,fun
niemals,never
schuld,fault
getötet,killed
wollten,wanted to
verlassen,leave
zeigen,show
beste,best
ernst,serious
unserer,ours
denen,whom
ort,location
bleibt,remains
würdest,would
manchmal,sometimes
seite,page
lasst,leaves
zwischen,between
eben,even
spiel,game
nehme,take
ersten,first
guter,goods
chance,chance
freundin,girlfriend
krieg,war
gefällt,pleases
kleinen,small
erzählen,tell
anderes,other
tage,days
entschuldigen,excuse
